TransactionDate,TransactionID,CustomerID,CustomerName,CustomerSex,CustomerAge,TransactionAmount,transactionType,TransactionBranch_ATMLocation
1/1/2025,e1345720-62b4-4ebb-84eb-76520bd7bede,1001,Michael Fernandez,Male,10,1875.83,Deposit,NYC 6th Ave 44th St Branch
1/1/2025,c67a4d47-b99d-48c6-ba48-a11c25470720,1001,Michael Fernandez,Male,10,277.35,Withdrawal,NYC 6th Ave 44th St Branch
1/1/2025,2de2731d-4980-4c11-892d-f91cb6afd2a6,1001,Michael Fernandez,Male,10,2301.89,Withdrawal,Staten Island ATM 1
1/1/2025,e17e2247-67b2-4f38-a5f6-b4143e58f9fd,1001,Michael Fernandez,Male,10,188.39,Deposit,Brooklyn 4th Street Branch 2
1/1/2025,84ed0c0d-f3a1-4b43-865c-db75911ee4ce,1001,Michael Fernandez,Male,10,1386.16,Withdrawal,Staten Island ATM 1
1/1/2025,2df5dbf7-6b53-48a3-972b-5a52df1cabd1,1001,Michael Fernandez,Male,10,266.03,Withdrawal,"Garden City, NY Main  Branch"
1/1/2025,0af87070-b74e-460c-a383-8284f12864af,1001,Michael Fernandez,Male,10,2261.51,Deposit,"Garden City, NY Main  Branch"
1/1/2025,f9d884b8-f2c9-4f4c-8daf-88307743aab8,1001,Michael Fernandez,Male,10,196.91,Withdrawal,"Bay Shore, NY ATM 2"
1/1/2025,a1526015-45ab-4335-b8e1-98cee753ada4,1001,Michael Fernandez,Male,10,1436.68,Withdrawal,"Albany, NY, Main Street Branch 3"
1/1/2025,fa2cbdd8-351f-4fab-a700-8bbf5da79563,1001,Michael Fernandez,Male,10,185.83,Withdrawal,"Albany, NY, Main Street Branch 3"
1/1/2025,0b40ebb2-6fa3-4f61-8de9-fe04e23a0720,1001,Michael Fernandez,Male,10,663.05,Deposit,"Albany, NY, Main Street Branch 3"
1/1/2025,9eebab91-c157-4894-9904-e1cf9129158f,1001,Michael Fernandez,Male,10,1744.21,Withdrawal,Staten Island ATM 1
1/1/2025,e47fc657-5ce3-467d-93f6-cad6c08213fc,1001,Michael Fernandez,Male,10,105.27,Withdrawal,Staten Island ATM 1
1/1/2025,b4439098-5fb1-44c2-822c-a73af9aba969,1001,Michael Fernandez,Male,10,2269.99,Deposit,Staten Island ATM 1
1/1/2025,cfdc8256-bdd9-4333-91a5-921d097c2250,1001,Michael Fernandez,Male,10,1397.13,Withdrawal,NYC 6th Ave 44th St Branch
1/1/2025,a75a5135-4809-4be2-a886-c0d166420cb1,1001,Michael Fernandez,Male,10,963.77,Deposit,Brooklyn 4th Street Branch 2
1/1/2025,ed322df9-73a8-45da-8b2b-8bb879e77d82,1001,Michael Fernandez,Male,10,1711.73,Deposit,"Garden City, NY Main  Branch"
1/1/2025,7097f942-d369-4649-8ef1-967f452f3e6c,1001,Michael Fernandez,Male,10,2019.34,Deposit,"Albany, NY, Main Street Branch 3"
